time,price
1611280800,30067
1611284400,30734
1611288000,30959
1611291600,30940
1611295200,31828
1611298800,31587
1611302400,30802
1611306000,31526
1611309600,31405
1611313200,31395
1611316800,31750
1611320400,31562
1611324000,32181
1611327600,32546
1611331200,32511
1611334800,32429
1611338400,32371
1611342000,33305
1611345600,33627
1611349200,33523
1611352800,33332
1611356400,32873
1611360000,32992
1611363600,32740
1611367200,32734
1611370800,32298
1611374400,32391
1611378000,32584
1611381600,33381
1611385200,32871
1611388800,32938
1611392400,32989
1611396000,32500
1611399600,32370
1611403200,31653
1611406800,31654
1611410400,31923
1611414000,31740
1611417600,31906
1611421200,32142
1611424800,32277
1611428400,32183
1611432000,32404
1611435600,32181
1611439200,32370
1611442800,32078
1611446400,32105
1611450000,31909
1611453600,31887
1611457200,32121
1611460800,32503
1611464400,32865
1611468000,32884
1611471600,32774
1611475200,32814
1611478800,32657
1611482400,32699
1611486000,32743
1611489600,32860
1611493200,32408
1611496800,32260
1611500400,32100
1611504000,31988
1611507600,31770
1611511200,31893
1611514800,31870
1611518400,31331
1611522000,31697
1611525600,31926
1611529200,32171
1611532800,32302
1611536400,32618
1611540000,32878
1611543600,32822
1611547200,33602
1611550800,33403
1611554400,33365
1611558000,33531
1611561600,33379
1611565200,33483
1611568800,32999
1611572400,33142
1611576000,33234
1611579600,34211
1611583200,34566
1611586800,34479
1611590400,34481
1611594000,33903
1611597600,33761
1611601200,33660
1611604800,33416
1611608400,33430
1611612000,32705
1611615600,32449
1611619200,32222
1611622800,32474
1611626400,32756
1611630000,32306
1611633600,31524
1611637200,32013
1611640800,32092
1611644400,31602
1611648000,31664
1611651600,31897
1611655200,31837
1611658800,32246
1611662400,31819
1611666000,31312
1611669600,31757
1611673200,31283
1611676800,31777
1611680400,32013
1611684000,32213
1611687600,32311
1611691200,32240
1611694800,32008
1611698400,32007
1611702000,32785
1611705600,32514
1611709200,32349
1611712800,32122
1611716400,31832
1611720000,31829
1611723600,31920
1611727200,31533
1611730800,31712
1611734400,31780
1611738000,31160
1611741600,31243
1611745200,31415
1611748800,30686
1611752400,30801
1611756000,30295
1611759600,29552
1611763200,30374
1611766800,30591
1611770400,30551
1611774000,29743
1611777600,30772
1611781200,31603
1611784800,31013
1611788400,30587
1611792000,30415
1611795600,30715
1611799200,30929
1611802800,31081
1611806400,31497
1611810000,31367
1611813600,31785
1611817200,31624
1611820800,31196
1611824400,31097
1611828000,31494
1611831600,31516
1611835200,31465
1611838800,31519
1611842400,31797
1611846000,31870
1611849600,31974
1611853200,32465
1611856800,32348
1611860400,32693
